"ID","F1","F2","F3"
"R_DO7WBLeWTraBEkh",2.04796688752453,1.16801577497491,0.115549362093297
"R_1BOWltIDcyNGKoH",1.57541490381052,1.50626474499986,1.10199724633235
"R_1Dr6S3X8XV7aNWq",-0.1802793037303,0.167744749029408,-1.2661488393093
"R_2AEbBswtDMx6dmI",-0.706353298357523,-0.738465287394433,-0.0672420059235206
"R_1QseubXuFkKITgO",0.185537831042441,1.19409871712724,-0.710780525433208
"R_TbISNkHJ4IeaWwF",-0.566945477429315,0.119080386095807,0.529513069925641
"R_2QJmilO7N7JtBpM",1.93477855459865,2.15466021636991,0.646652332170564
"R_r2tpTfFLvWCrG0N",0.0962911716996917,0.383540556741966,-0.259150330543869
"R_1Ad63eU2Ca1KXLP",-1.05069266787395,-1.18454648144839,-0.250505555710826
"R_55OzDBBbMqXzJwl",-1.118361895529,-0.918283454089854,-0.175236565245908
"R_1jHvmK6ZxB1pI0v",-0.997835357355953,-1.02286593296291,-0.33002499576831
"R_1j7hOSdsSgrjGa7",-0.830394037054789,-0.789797873154062,-0.0389602869843128
"R_12okEGnKC0uBOVD",-0.525135209971066,-0.267217902186049,-0.220144124303311
"R_1r2ZiHHbIJG3ZBv",-0.81399069914916,-0.882443096218963,-0.108802200457113
"R_2VBHRj1t6GMLotd",0.310183111901404,1.28350177013018,-1.22946193465105
"R_3KoKrYqRHmPPvAs",-0.578189804884229,-1.01405618815083,0.0556255015751291
"R_1q4hHLZJoTYJcE4",0.0200337138050997,0.218007314616152,0.306012731233572
"R_zVkcRzZ7Dg0So5X",0.344598369553278,0.486367757320711,-0.70403731475889
"R_sYltNfFHlnks9VL",0.14635227260117,0.189067865751723,0.447794462372622
"R_2zMDWCRhaKVFPzu",-0.0279606966788813,0.85480906852049,0.0948014169231724
"R_3s0nXgZ0kv9dSZU",-1.19592034988228,-1.26130918334001,-0.102484609987152
"R_51g1JaoyDoCYAaB",0.0492033649508212,0.0999817975281303,-0.421286682230015
"R_1FbPQrke1paVybl",-0.317391647695662,-0.258789878485533,-0.240578922682603
"R_27d0jvXUVSL55VS",0.790309275532119,0.337993704422384,-0.657818905609619
"R_2bVMkt1hhhln2jP",-0.987107140176623,-0.456063620052829,0.0218550679903588
"R_1LCkV0plBScTIxu",-0.521525020214617,-0.308261027352431,-0.883891481557979
"R_1erTRVw5NO8GzjT",-0.468687016127752,-0.537619846848102,-0.622679999624657
"R_2tMwJtTOoKQyggX",-0.106613012082879,-0.800813701644741,-0.562908814338367
"R_3nCM4LsfCsIjOo7",0.454366887297076,-0.652491764116331,-0.177729009136224
"R_wRBZJ21QBhdo7p7",0.541120660836496,0.866676981487224,0.706929428755704
"R_2Tz76JQL2jHYPp6",-0.709710046459419,-0.257151628063928,0.727033575254633
"R_tFlteVSB8FKP42J",0.919207113427204,1.17216087016371,1.39164068226727
"R_XjQDjJtVx656vfz",-0.115810832255856,-0.176421878552165,0.507485172272299
"R_1hLTWM3blebJbmJ",-0.328894581714797,-0.32861819906983,-0.788572016671774
"R_2rwqMlB1yZpbsmB",-0.236126522359924,-0.581378505336897,-0.432853404613926
"R_2zuMIprq0a2shga",0.0812540890000853,-0.226394663669959,-0.446059004890393
"R_3nBKLeznUVme0h3",-0.780505460715797,-1.18661968678569,-0.229186303875006
"R_xfpq3YIIpCmr0hX",1.7738432584441,2.38838530510542,1.8207808071108
"R_129IACvxn4XnW9u",-0.111032305638415,-0.68372939599288,-0.623884402526838
"R_2qwvsF2oLrIFTgD",0.539632984184619,0.367710719754473,-0.84768033209167
"R_1qffAI4F7bYGKWY",1.36454029663617,2.24772225217107,1.47837585568982
"R_2pJe7TuHyUVWLEj",-0.889464726402821,-0.786865161810982,-0.679103578637858
"R_DNbphPQ0pimmWEp",-1.18349330244561,-1.19991352535403,-0.200002600166406
"R_5bszlqlryIXU7MR",2.59230735770671,1.17895289989773,2.25292737917341
"R_2wjEHD8gLcuaRX7",1.36482370932649,1.17288938892269,1.93419625459125
"R_2aV4FwwZi4zjV09",-0.307143275546816,-0.855109386019209,-0.695168967115657
"R_3q8cMRJ1IV4a6GT",-1.14895914796545,-0.910220322146598,-0.654970979453341
"R_8Cj7WmQcosb33pL",-0.252346012228211,-1.02862006254926,0.18930623530511
"R_cHYMbmoxKDTLvs5",-0.162733217174736,0.0568720398538781,-0.780653680483704
"R_2wiYDLu8QZoAOsN",0.40586042480216,1.57880671518913,0.823761762537186
"R_2WO6CXbbg0sRsgl",-0.8376311958246,-0.992494230952781,-0.237240041066789
"R_097npGr2VDUddjr",1.64827500579507,0.970858112807533,-0.653712673964563
"R_1JVecwADD1hEEhd",-0.00941576140685854,-0.825839682652216,-0.176854517948713
"R_1ewrbcHhd4dhCKR",-0.428301856001805,-0.824483390259314,-0.776557266876732
"R_R9aQw5gNPjOjQSl",1.35896594642104,0.727313711517414,-0.310836016770749
"R_2zvHUO814mgvRAJ",0.383461187392054,-0.599465437141036,0.00124473510502907
"R_5syDysqEg5q6g1j",-0.114675128861538,-0.243858384246048,-0.752772082465054
"R_2uPSl5mYGnrsQPF",0.25778387996995,-0.513911084397947,-0.618720298725076
"R_3RybsOgte2YWttl",-0.403210522031218,-0.851188036109836,0.16121501782583
"R_1jw9T5cDPwE8MOt",1.66534394775284,1.29895286690689,1.55916654750024
"R_eh89Sv505yU6QKt",-1.12740837679787,-0.686336354751451,-0.687101119691949
"R_265usku9iXLxW88",2.46264824067912,2.01107241677165,0.383972409897261
"R_3qWhpUXVLDV22Ii",-0.643527047809582,-0.80697920986957,-0.475584846024795
"R_1guKJOjTlOkSUJL",-0.18005343421812,-0.206779621139511,-0.0766858494462264
"R_3s4zvYXHRXptoDP",-0.492508578831462,-0.86675127527687,-0.0580045841169229
"R_3nN87aJxCTnGfwZ",-0.585854511729842,-1.09262839352765,-0.461331257760618
"R_3hF0EXXxqArVOMR",-0.555495822839115,-0.0759154463511503,-0.899871757606066
"R_2dhgdzhff0SO82n",0.817281593537043,0.58340256293911,0.109164041734303
"R_DoQRlA2ONhh6sZH",0.15300488313321,-0.215358605097989,-0.899289021607909
"R_2aFT7kifZ9YzE1G",-0.041098768807595,-0.15692385877204,-0.421426556991335
"R_2xzWn8vfhktZGQW",-0.896542381614996,-0.87238162096684,-0.134419864473668
"R_2Sk5FEjz72ZdNtS",0.491818806278856,0.278830985511581,-0.619089827469262
