,Group,proportion_diff_depr,proportion_diff_anx
0,7,-0.019615459312488,0.00581395348837199
4,7,-0.0749271703243339,-0.0206810631229229
5,2,-0.069730533972558,-0.0805945442632
7,5,0.09953972383430099,0.069467146126185
8,6,0.021850079744817,-0.012615673799885
9,3,-0.033621273712737,0.038454722665249005
10,5,-0.01652991795077,0.035550833605754
11,2,0.044370970408332,-0.041728454667725
12,7,-0.08623033598757099,-0.148255813953488
13,7,-0.050534084288212,-0.00955149501661195
14,7,-0.10976888716255599,-0.0500830564784061
17,5,0.0966980188112869,0.068813337692056
18,6,-0.00446570972886701,0.021255060728745
19,7,0.016003107399495002,-0.000830564784052967
20,5,0.06740044026415799,0.07649558679307
21,5,-0.012127276365819999,0.06685191238966999
22,7,-0.04715478733734799,-0.025
23,3,-0.032181571815718,-0.036239588871168
26,6,0.0028708133971289103,0.063439849624061
29,6,0.046251993620413996,-0.0031087333718919897
30,2,0.010051248140187999,-0.015863710038969
31,7,-0.072013983297728,-0.072259136212624
35,6,-0.015151515151515,0.02927993059572
39,2,-0.10133906430815,-0.06604131461875401
41,7,0.0513886191493501,0.0124584717607981
42,7,-0.058885220431152005,-0.009634551495015959
44,7,-0.039463973587105,-0.044435215946844006
45,3,-0.037601626016260006,-0.04208754208754199
46,2,0.064870226483716,0.05524709452702
48,6,-0.059170653907496,-0.08961104684788901
50,7,-0.031112837444163998,0.00124584717608001
51,5,0.06647988793276,0.038166067342268996
52,2,-0.0882790543891561,-0.153119288202228
53,6,0.042264752791069,0.018724696356275
54,2,-0.0871218383203839,-0.09928613304824699
55,2,-0.011109274260208,0.05938545366762
57,3,-0.039380081300813,-0.00265816055289803
58,5,0.084370622373424,0.06309251389343
59,5,-0.0063237942765659895,-0.022883295194508
60,6,-0.023763955342902,-0.00683198380566796
62,2,-0.0035377748388170102,0.073421388419492
64,3,-0.057757452574526,-0.064593301435406
65,5,0.145167100260156,0.0560640732265451
66,5,0.014728837302382,0.086629617522066
68,7,0.08751213827927701,0.069019933554817
69,7,0.032627694698000004,-0.024418604651163
70,3,-0.08951558265582599,-0.026404394825448
71,2,-0.115919986774673,-0.06386867606993901
73,2,-0.0061828401388660005,-0.00679380625581999
75,7,0.025869100796271,0.052076411960133
77,2,-0.0139196561415109,-0.0005862675449179731
78,6,-0.014992025518341001,-0.042871602082127994
80,7,-0.059739755292289004,-0.04294019933554799
81,6,-0.019298245614035,0.00046992481203000897
83,5,-0.013848308985391002,0.045439686171952
85,5,0.06884130478287,0.139669826740765
89,5,0.023213928357014,-0.03710362863681
90,6,0.044976076555024,0.042943898207056
91,3,-0.04835704607046,-0.00248094984937
92,6,-0.00526315789473697,-0.05776460381723599
93,3,0.027693089430895,0.060606060606060996
99,7,-0.048358904641678,-0.08920265780730902
101,6,-0.061722488038277,-0.040341237709659
102,5,0.0176906143686221,0.010869565217390999
107,2,-0.023574144486692004,-0.038521226333759005
108,6,-0.00510366826156294,0.04713707345286299
111,6,-0.087878787878788,-0.11860179294389801
112,6,-0.16092503987240803,-0.125036148062464
114,6,0.0041467304625200105,0.08592394447657598
115,3,-0.08722899728997201,-0.11004784688995199
116,6,-0.118341307814992,-0.082128397917872
117,5,0.132919751851111,0.0384112455050669
118,3,0.0642784552845531,0.142566010987063
119,7,-0.030025247620898,0.07541528239202701
122,2,0.0230120681104321,-0.0047591130116900705
124,6,0.029984051036682998,0.120011567379988
125,7,-0.0292483977471359,-0.051827242524916994
126,3,-0.06741192411924099,-0.025695552011342004
127,2,-0.05898495619110599,-0.0798013587612519
128,3,0.018207994579946,0.00788587630692894
129,2,-0.081732517771532,-0.102217470772839
130,3,-0.016429539295393,0.037657274499378994
132,5,0.00164098459075401,0.047973193854201
135,2,0.00142172259877704,-0.012449563747973999
137,6,-0.043700159489632996,-0.0176041064198951
139,7,-0.021441056515829,0.025166112956810004
141,5,0.029097458475085,0.022147760706113
144,2,0.04585881963961,0.049832741318068
148,5,-0.027936762057234,-0.07813010787839199
149,5,-0.040184110466279996,0.035877737822817
150,2,0.08186477103653501,-0.002620960789047
153,3,0.023289295392954,-0.0700868332447281
154,3,0.0232046070460701,0.012138933191565001
155,5,-0.00984590754452702,-0.02451781627983
156,3,-0.044969512195122,-0.0018607123870280102
159,2,0.00472805422383898,-0.013208262923751001
161,3,-0.054115853658537,-0.0071770334928230595
162,3,-0.032012195121952004,-0.00646819067871696
163,3,-0.058350271002709994,-0.023125996810207997
164,2,0.024797487187965,0.026899334413905
165,2,-0.04916515126467201,-0.088181536020968
166,5,-0.038463077846708,0.057289964040536
167,2,0.0838816333278231,0.0606614477359729
169,5,0.095457274364619,0.078211833932657
171,3,-0.00584349593495992,-0.007442849548112029
173,6,0.10334928229665,0.084947946790052
174,7,0.046610992425712997,-0.034883720930233
175,5,0.064158495097058,0.076985943118666
176,3,-0.024644308943089,0.026138578770158
181,5,0.08725235141084599,0.043151356652501
183,3,-0.0609756097560979,-0.0354421407052991
185,5,-0.0066439863918349995,-0.0044132069303700104
186,3,-0.130928184281843,-0.13140173666489502
188,5,0.0279367620572339,0.00498528931023201
193,5,-0.020052031218732,-0.039228506047728
194,6,-0.073684210526316,0.01088056680162
196,3,-0.023797425474255,-0.031366294524189
197,2,-0.083352620267813,-0.10197606648963699
198,5,0.090494296577947,0.130434782608696
200,5,0.107504502701621,0.067178816606735
201,3,-0.06732723577235701,-0.12006025163919899
202,6,-0.068740031897927,-0.004084731058416
203,6,-0.011961722488038,0.03979901677270101
204,5,0.010406243746246999,-0.029748283752859997
205,6,-0.074162679425838,-0.049667437825332006
206,6,0.02615629984051,0.061126373626374
207,6,-0.0207336523126,-0.07836899942163099
212,2,-0.04744585881964,-0.056247197985998997
214,6,-0.026475279106858998,0.037485540775014
216,3,-0.031334688346883,0.051922736133262
219,7,-0.15719557195572,-0.143023255813954
220,6,-0.068261562998405,-0.012073452862926
221,3,0.035992547425475,0.07487152223994299
222,7,0.067585939017285,-0.0049833887043189105
223,3,0.04200542005419999,-0.021442495126705003
224,6,-0.04066985645933,-0.0605841526894151
225,2,0.069829723921309,-0.017588026347554
226,5,0.12939763858315,0.12455050670153599
227,3,-0.09857723577235698,0.00744284954811197
229,3,-0.0522527100271,0.028973950026582
230,7,0.00570984657215001,0.013205980066445
231,6,-0.026953748006378998,0.105443898207056
232,3,-0.036924119241193,-0.06866914761651599
233,3,0.052168021680217,0.077529682792841
234,5,-0.073323994396638,-0.056636155606407
236,2,0.000363696478756004,-0.047142807876677004
237,2,0.073036865597619,0.11894333896610002
238,6,0.0692185007974481,0.05320994794679
239,6,0.00701754385964898,0.00943464430306501
240,7,0.00493299669838798,-0.041943521594685
241,5,0.030218130878527,-0.042497548218372
242,7,0.04898038454068701,0.05124584717608
243,6,-0.0153110047846891,-0.0299305957200691
244,7,0.026762478151098,0.00606312292358802
246,2,-0.06275417424367699,-0.09014725661275301
247,7,0.051815886579917994,0.051910299003321995
249,7,-0.09609632938434698,-0.0035714285714290007
250,7,0.052359681491552006,-0.025
251,6,-0.0400318979266351,-0.0836104684788891
252,3,-0.00525067750677599,-0.0489101541733121
253,6,0.0467304625199361,-0.0396544245228451
254,3,-0.034044715447154,0.012581959950381
257,7,0.00112643231695403,-0.141943521594685
259,3,-0.028116531165311,-0.050062023746235
260,2,0.063845263679947,0.053005483325861
261,5,0.13348008805283199,0.10117685518143199
267,7,-0.025752573315207,-0.062043189368771
268,6,0.0317384370015941,0.040268941584731
269,2,0.023045131426682002,0.11894333896610002
273,3,-0.0275237127371281,0.0298600035442149
276,2,0.0268804761117539,0.11597751491533699
277,2,-0.05290130600099201,-0.06607580094492599
278,2,-0.066556455612498,-0.11990895609890699
281,3,0.051151761517615,0.093124224703172
282,6,-0.013875598086124,-0.051041064198959006
284,5,-0.010126075645388,-0.055900621118013
285,2,-0.101206811043148,-0.079628927130393
286,5,-0.020692415449268996,-0.016917293233083
290,3,0.0102472899729,0.041024277866383
297,6,-0.015151515151515,-0.00213273568536804
298,3,-0.015074525745257,-0.00336700336700296
299,5,0.022373424054433,0.058924485125858
300,3,0.051321138211382004,-0.034910508594719
302,7,0.011108953194794999,-0.00780730897010001
303,7,-0.05562245096135201,-0.075913621262458
304,2,0.03511324185815799,0.08814704969479598
305,7,-0.022955913769663997,-0.042857142857142996
307,5,-0.03261957174304601,-0.023782281791435
308,7,-0.08168576422606401,-0.12657807308970098
309,2,-0.056108447677302,-0.059213022036763
310,2,-0.031740783600595,-0.06310997689416199
311,5,0.0603962377426461,0.12577639751552802
313,7,-0.21266265294231895,-0.24742524916943498
315,5,-0.060076045627376,-0.071101667211507
316,5,0.00476285771462898,-0.022392938868912002
318,7,-0.004738784229948,-0.020265780730897
319,6,0.023285486443382002,-0.025159051474840998
321,6,-0.066188197767145,-0.0790558126084441
322,5,0.045707424454673,0.018551814318405
323,5,0.029657794676806,0.011768551814318
326,3,0.045647018970189,0.06025163919900799
330,5,0.033780268160897006,0.0409447531873161
331,5,0.054312587552532,0.14024190912062698
332,7,-0.010254418333656999,0.025913621262457994
333,7,0.0136337152845221,-0.10215946843853801
334,7,-0.0170906972227619,-0.08853820598006598
335,7,0.070266071081763,0.084966777408638
336,7,0.020664206642066002,0.010880398671096
337,7,-0.037910273839580004,0.00506644518272403
339,5,-0.01152691614969,0.0651356652500821
340,5,0.057754652791675,0.066034651847009
341,7,-0.030258302583026,0.004152823920266
342,6,0.103668261562999,0.07486263736263701
344,3,-0.040226964769647995,-0.042264752791069
347,7,-0.029131870266071,-0.031395348837209
