,Group,proportion_diff_depr,proportion_diff_anx
0,7,-0.019615459312488,0.00581395348837199
2,3,-0.110264227642276,-0.080276448697502
5,7,-0.0749271703243339,-0.0206810631229229
6,2,-0.069730533972558,-0.0805945442632
8,5,0.09953972383430099,0.069467146126185
9,6,0.021850079744817,-0.012615673799885
10,3,-0.033621273712737,0.038454722665249005
11,5,-0.01652991795077,0.035550833605754
12,2,0.044370970408332,-0.041728454667725
13,7,-0.08623033598757099,-0.148255813953488
14,7,-0.050534084288212,-0.00955149501661195
15,7,-0.10976888716255599,-0.0500830564784061
19,5,0.0966980188112869,0.068813337692056
20,6,-0.00446570972886701,0.021255060728745
21,7,0.016003107399495002,-0.000830564784052967
23,5,0.06740044026415799,0.07649558679307
24,5,-0.012127276365819999,0.06685191238966999
25,7,-0.04715478733734799,-0.025
26,3,-0.032181571815718,-0.036239588871168
30,6,0.0028708133971289103,0.063439849624061
33,6,0.046251993620413996,-0.0031087333718919897
34,2,0.010051248140187999,-0.015863710038969
35,7,-0.072013983297728,-0.072259136212624
39,6,-0.015151515151515,0.02927993059572
44,2,-0.10133906430815,-0.06604131461875401
46,7,0.0513886191493501,0.0124584717607981
47,7,-0.058885220431152005,-0.009634551495015959
49,6,0.091547049441786,0.0668739155581269
50,7,-0.039463973587105,-0.044435215946844006
51,3,-0.037601626016260006,-0.04208754208754199
52,2,0.064870226483716,0.05524709452702
54,6,-0.059170653907496,-0.08961104684788901
56,3,-0.07046070460704598,-0.0517455254297361
57,7,-0.031112837444163998,0.00124584717608001
58,5,0.06647988793276,0.038166067342268996
59,2,-0.0882790543891561,-0.153119288202228
60,3,0.032435636856369,0.08089668615984401
61,6,0.042264752791069,0.018724696356275
62,2,-0.0871218383203839,-0.09928613304824699
63,2,-0.011109274260208,0.05938545366762
65,2,0.011175400892709998,-0.03358968169121
66,3,-0.039380081300813,-0.00265816055289803
67,3,-0.095951897018971,-0.101630338472443
68,5,0.084370622373424,0.06309251389343
69,6,-0.021690590111643003,-0.019556101792943998
70,5,-0.0063237942765659895,-0.022883295194508
71,2,0.045362869895851,0.019312342656137
72,6,-0.023763955342902,-0.00683198380566796
74,2,-0.0035377748388170102,0.073421388419492
77,3,-0.057757452574526,-0.064593301435406
78,5,0.145167100260156,0.0560640732265451
79,5,0.014728837302382,0.086629617522066
81,7,0.08751213827927701,0.069019933554817
82,7,-0.064206642066421,-0.01046511627907
83,7,0.032627694698000004,-0.024418604651163
84,3,-0.08951558265582599,-0.026404394825448
85,2,-0.115919986774673,-0.06386867606993901
87,2,-0.05663746073731201,-0.057005897161775995
88,2,-0.0061828401388660005,-0.00679380625581999
90,7,0.025869100796271,0.052076411960133
92,2,-0.0139196561415109,-0.0005862675449179731
93,6,-0.014992025518341001,-0.042871602082127994
95,7,-0.059739755292289004,-0.04294019933554799
96,6,-0.019298245614035,0.00046992481203000897
98,5,-0.013848308985391002,0.045439686171952
100,5,0.06884130478287,0.139669826740765
104,5,0.023213928357014,-0.03710362863681
105,3,0.060890921409214996,0.032695374800638
106,6,0.044976076555024,0.042943898207056
107,3,-0.04835704607046,-0.00248094984937
108,6,-0.00526315789473697,-0.05776460381723599
110,3,0.027693089430895,0.060606060606060996
112,5,-0.071242745647388,-0.059660019614253
116,2,-0.01702760786907,-0.013691071490153998
118,7,-0.048358904641678,-0.08920265780730902
120,6,-0.061722488038277,-0.040341237709659
121,5,0.0176906143686221,0.010869565217390999
126,2,-0.023574144486692004,-0.038521226333759005
127,6,-0.00510366826156294,0.04713707345286299
130,6,-0.087878787878788,-0.11860179294389801
131,6,-0.16092503987240803,-0.125036148062464
133,6,0.0041467304625200105,0.08592394447657598
134,6,0.029346092503987002,0.014531521110468001
135,3,-0.08722899728997201,-0.11004784688995199
136,6,-0.118341307814992,-0.082128397917872
137,5,0.132919751851111,0.0384112455050669
138,2,0.067151595305009,-0.039004034900162
139,3,0.0642784552845531,0.142566010987063
140,7,-0.030025247620898,0.07541528239202701
142,6,-0.103668261562999,-0.09199681897050399
144,2,0.0230120681104321,-0.0047591130116900705
146,6,0.029984051036682998,0.120011567379988
147,2,-0.00945610844767703,-0.064834293202745
148,7,-0.0292483977471359,-0.051827242524916994
149,3,-0.06741192411924099,-0.025695552011342004
150,2,-0.05898495619110599,-0.0798013587612519
151,3,0.018207994579946,0.00788587630692894
152,2,-0.081732517771532,-0.102217470772839
153,3,-0.016429539295393,0.037657274499378994
155,5,0.00164098459075401,0.047973193854201
157,6,0.059968102073365,0.040124349334876
159,2,0.00142172259877704,-0.012449563747973999
161,6,-0.043700159489632996,-0.0176041064198951
165,7,-0.021441056515829,0.025166112956810004
167,5,0.029097458475085,0.022147760706113
170,2,0.04585881963961,0.049832741318068
171,2,-0.061067945114894995,-0.025485395040867
176,5,-0.027936762057234,-0.07813010787839199
177,5,-0.040184110466279996,0.035877737822817
178,2,0.08186477103653501,-0.002620960789047
181,3,0.023289295392954,-0.0700868332447281
182,3,0.0232046070460701,0.012138933191565001
183,5,-0.00984590754452702,-0.02451781627983
184,3,-0.044969512195122,-0.0018607123870280102
