,target,feature_names,baseline_score,baseline_std_dev,baseline_std_error,penalty_before_fs,regurilization_strength_before_fs,l1ratio_before_fs,penalty_score_before_fs,penalty_std_dev_before_fs,fs_score,fs_std_dev,fs_std_error,penalty_after_fs,regurilization_strength_after_fs,l1ratio_after_fs,penalty_score_after_fs,penalty_std_dev_after_fs,boost_score,boost_std_dev,boost_std_error,bag_score,bag_std_dev,bag_std_error,earlystop_score,earlystop_std_dev,earlystop_std_error,best_model_name,best_model_train_r2_cv,best_model_train_r2,best_model_holdout_r2,best_model_coef,best_model_intercept,predicted_values,FI_mean_train,FI_std_train,FI_mean_holdout,FI_std_holdout
0,proportion_diff_depr,"('Valence_VAD',)",-0.05041599403277495,0.0944591253555344,0.0472295626777672,elasticnet,0.01,0.2,-0.04622581629711646,0.10493923433755245,0.06455372559736036,0.0730755910010654,0.036537795500532703,l2,0.1,0.0,-0.040035322868995936,0.10621492779375552,-0.031255366417646965,0.07908202410389537,0.03954101205194768,-0.04416988541022151,0.11271378641569467,0.05635689320784733,-0.04623985107038011,0.11659756110734935,0.05829878055367468,feature_selection_model,0.06455372559736036,0.07530727637839174,0.05853808648393144,[0.06956119],-0.048008692167676476,"[-0.00599374 -0.00258524  0.01577892  0.00485781 -0.00828925  0.01828312
  0.00124063 -0.0153845  -0.0153845  -0.02741858  0.00346659 -0.0153845
 -0.00724584 -0.02261886  0.0020058   0.01355296 -0.01183688 -0.00682847
 -0.03451382  0.01431813  0.00124063 -0.00307217 -0.00209831 -0.00453295
 -0.00961092 -0.0064111   0.00346659 -0.0153845   0.01543111  0.00235361
  0.01431813 -0.00258524  0.00068414  0.01501374 -0.01830607 -0.03027059
  0.01285735  0.00805762 -0.01392371 -0.01907124 -0.04661747 -0.03423558
  0.0020058  -0.01962773 -0.03180094 -0.03027059 -0.00258524  0.00924016
 -0.00884574  0.00597079 -0.0098196  -0.00954136 -0.00891531 -0.00474163
 -0.03493119 -0.03639197 -0.04021784  0.01570935 -0.00091577 -0.01830607
 -0.03131401 -0.00091577 -0.0132281  -0.00828925 -0.00348953 -0.01253249
 -0.03353997  0.00777938 -0.00383734  0.00270141  0.00096238 -0.01740177
 -0.01392371  0.0066664   0.01355296 -0.01642791 -0.01253249 -0.01030653
  0.01090963 -0.00119401 -0.02700121  0.0159876   0.02009171  0.01647453
 -0.02554043  0.00346659 -0.01740177 -0.04223511 -0.04209599  0.01070095
 -0.03423558 -0.01253249 -0.01030653 -0.01468888  0.00026677 -0.0306184
  0.00346659 -0.01253249 -0.01816694  0.0020058  -0.01037609 -0.00961092
  0.00124063  0.00026677 -0.00988916 -0.01392371 -0.01900168 -0.01830607
  0.01800487  0.00304922  0.00875324  0.01793531  0.00235361 -0.00745452
 -0.0076632  -0.00961092 -0.00522856 -0.03207918  0.00096238 -0.02414921
 -0.0001506  -0.0153845   0.00235361  0.01216173 -0.0436959  -0.03827013
 -0.01183688 -0.00543725  0.0066664  -0.01830607 -0.0110717   0.01090963
 -0.02804463 -0.04376546 -0.00898487 -0.01900168 -0.00891531 -0.01253249
 -0.01176731 -0.00891531 -0.03569636 -0.00383734 -0.03207918  0.00054502
 -0.00237655  0.01021402 -0.02227105 -0.00307217 -0.03493119 -0.0039069
 -0.00821969 -0.01893212  0.00485781  0.00485781 -0.00745452 -0.02741858
 -0.01468888 -0.01030653 -0.00975004 -0.0440437  -0.0014027  -0.0001506
 -0.00815013  0.01953522 -0.04000916 -0.03131401 -0.00543725 -0.00133314
 -0.00258524 -0.01030653 -0.02435789  0.01730926  0.0020058   0.00485781]",[0.14930079],[0.03217813],[0.1771569],[0.04051054]
1,proportion_diff_anx,"('Valence_VAD',)",-0.06850200295995364,0.10841481330086768,0.05420740665043383,l2,1.0,0.0,-0.058189131163625875,0.08276184027025803,0.04171624033280861,0.03551855181038173,0.017759275905190865,l2,0.1,0.0,-0.053385961811182804,0.08712852310729434,-0.0445393856564716,0.0967321232507741,0.04836606162538704,-0.06432738581936268,0.09878519016190636,0.04939259508095317,-0.06795191641323128,0.09899166213213549,0.04949583106606774,feature_selection_model,0.04171624033280861,0.050512474321728784,0.07738837501365536,[0.06343309],-0.04249496910490763,"[-4.18138322e-03 -1.07316185e-03  1.56731737e-02  5.71417870e-03
 -6.27467516e-03  1.79567649e-02  2.41565806e-03 -1.27448503e-02
 -1.27448503e-02 -2.37187747e-02  4.44551692e-03 -1.27448503e-02
 -5.32317882e-03 -1.93418915e-02  3.11342204e-03  1.36433149e-02
 -9.50976271e-03 -4.94258029e-03 -3.01889498e-02  1.43410788e-02
  2.41565806e-03 -1.51719347e-03 -6.29130221e-04 -2.84928834e-03
 -7.47990386e-03 -4.56198175e-03  4.44551692e-03 -1.27448503e-02
  1.53560083e-02  3.43058749e-03  1.43410788e-02 -1.07316185e-03
  1.90819335e-03  1.49754097e-02 -1.54090400e-02 -2.63195314e-02
  1.30089840e-02  8.63210080e-03 -1.14127554e-02 -1.61068040e-02
 -4.12263073e-02 -2.99352174e-02  3.11342204e-03 -1.66142687e-02
 -2.77150593e-02 -2.63195314e-02 -1.07316185e-03  9.71046332e-03
 -6.78213988e-03  6.72910813e-03 -7.67020312e-03 -7.41647077e-03
 -6.84557296e-03 -3.03958761e-03 -3.05695483e-02 -3.19016432e-02
 -3.53904631e-02  1.56097406e-02  4.49232296e-04 -1.54090400e-02
 -2.72710277e-02  4.49232296e-04 -1.07784245e-02 -6.27467516e-03
 -1.89779201e-03 -1.01440936e-02 -2.93008865e-02  8.37836845e-03
 -2.21495745e-03  3.74775294e-03  2.16192570e-03 -1.45844098e-02
 -1.14127554e-02  7.36343902e-03  1.36433149e-02 -1.36963466e-02
 -1.01440936e-02 -8.11423475e-03  1.12328575e-02  1.95499939e-04
 -2.33381762e-02  1.58634730e-02  1.96060252e-02  1.63075046e-02
 -2.20060813e-02  4.44551692e-03 -1.45844098e-02 -3.72300227e-02
 -3.71031565e-02  1.10425582e-02 -2.99352174e-02 -1.01440936e-02
 -8.11423475e-03 -1.21105194e-02  1.52759481e-03 -2.66366968e-02
  4.44551692e-03 -1.01440936e-02 -1.52821738e-02  3.11342204e-03
 -8.17766784e-03 -7.47990386e-03  2.41565806e-03  1.52759481e-03
 -7.73363621e-03 -1.14127554e-02 -1.60433709e-02 -1.54090400e-02
  1.77030326e-02  4.06491838e-03  9.26643170e-03  1.76395995e-02
  3.43058749e-03 -5.51347809e-03 -5.70377736e-03 -7.47990386e-03
 -3.48361924e-03 -2.79687917e-02  2.16192570e-03 -2.07374195e-02
  1.14699628e-03 -1.27448503e-02  3.43058749e-03  1.23746531e-02
 -3.85621176e-02 -3.36143366e-02 -9.50976271e-03 -3.67391850e-03
  7.36343902e-03 -1.54090400e-02 -8.81199873e-03  1.12328575e-02
 -2.42896725e-02 -3.86255507e-02 -6.90900605e-03 -1.60433709e-02
 -6.84557296e-03 -1.01440936e-02 -9.44632962e-03 -6.84557296e-03
 -3.12673123e-02 -2.21495745e-03 -2.79687917e-02  1.78132717e-03
 -8.82862578e-04  1.05985266e-02 -1.90247261e-02 -1.51719347e-03
 -3.05695483e-02 -2.27839054e-03 -6.21124207e-03 -1.59799378e-02
  5.71417870e-03  5.71417870e-03 -5.51347809e-03 -2.37187747e-02
 -1.21105194e-02 -8.11423475e-03 -7.60677003e-03 -3.88792830e-02
  5.20067118e-06  1.14699628e-03 -6.14780898e-03  1.90985605e-02
 -3.52001638e-02 -2.72710277e-02 -3.67391850e-03  6.86337604e-05
 -1.07316185e-03 -8.11423475e-03 -2.09277188e-02  1.70687017e-02
  3.11342204e-03  5.71417870e-03]",[0.1017347],[0.02739847],[0.1436656],[0.03188364]
