,target,feature_names,baseline_score,baseline_std_dev,baseline_std_error,penalty_before_fs,regurilization_strength_before_fs,l1ratio_before_fs,penalty_score_before_fs,penalty_std_dev_before_fs,fs_score,fs_std_dev,fs_std_error,penalty_after_fs,regurilization_strength_after_fs,l1ratio_after_fs,penalty_score_after_fs,penalty_std_dev_after_fs,boost_score,boost_std_dev,boost_std_error,bag_score,bag_std_dev,bag_std_error,earlystop_score,earlystop_std_dev,earlystop_std_error,best_model_name,best_model_train_r2_cv,best_model_train_r2,best_model_holdout_r2,best_model_coef,best_model_intercept,predicted_values,FI_mean_train,FI_std_train,FI_mean_holdout,FI_std_holdout
0,proportion_diff_depr,"('fear',)",-0.23228388810892406,0.2712838249614133,0.13564191248070664,elasticnet,0.01,0.4,-0.17181584059992688,0.24510635274284054,0.01849533694229888,0.036784861692847934,0.018392430846423967,l2,0.1,0.0,-0.16008625406971635,0.24839027383255566,-0.15071741278572434,0.2583278362702675,0.12916391813513373,-0.15251428502661346,0.23930379361602175,0.11965189680801087,-0.17663149804251124,0.2770756468146158,0.1385378234073079,feature_selection_model,0.01849533694229888,0.0408979566393578,0.015700538189473257,[-0.03456029],-0.0019692955104200103,"[-0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.03652959 -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.03652959 -0.03652959 -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.03652959 -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.03652959 -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.03652959 -0.0019693  -0.0019693  -0.03652959 -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.03652959
 -0.0019693  -0.0019693  -0.03652959 -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.03652959 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.03652959 -0.03652959 -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.03652959 -0.0019693  -0.0019693
 -0.0019693  -0.03652959 -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.0019693  -0.03652959 -0.0019693  -0.0019693  -0.0019693
 -0.0019693  -0.03652959 -0.03652959 -0.0019693  -0.03652959 -0.0019693
 -0.0019693 ]",[0.08137222],[0.02803969],[0.08014152],[0.02813979]
1,proportion_diff_anx,"('anticipation', 'disgust', 'sadness')",-0.11053329099323816,0.2139627120329879,0.10698135601649394,elasticnet,0.01,0.2,-0.08830961775022728,0.176330515738881,0.045900047854339786,0.11880339897939818,0.059401699489699075,l2,0.01,0.0,-0.07428556661304164,0.19140056596822427,-0.09318362306860324,0.17372572806384254,0.08686286403192126,-0.07517010351816915,0.1884498041126519,0.09422490205632594,-0.0762618851499477,0.2112076472719463,0.10560382363597315,feature_selection_model,0.045900047854339786,0.09624788316738042,0.05244363128993057,[-0.0198102  -0.0468609  -0.03602645],0.0059378153614305556,"[ 0.00593782  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782 -0.03008864
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782 -0.01387239
  0.00593782  0.00593782 -0.01387239  0.00593782  0.00593782  0.00593782
 -0.04092308 -0.01387239  0.00593782  0.00593782  0.00593782 -0.03008864
  0.00593782  0.00593782 -0.07694954  0.00593782  0.00593782  0.00593782
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782
  0.00593782  0.00593782  0.00593782  0.00593782 -0.01387239 -0.01387239
 -0.03008864  0.00593782  0.00593782 -0.03008864 -0.07694954  0.00593782
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782 -0.03008864
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782
  0.00593782  0.00593782 -0.01387239  0.00593782 -0.01387239  0.00593782
  0.00593782  0.00593782  0.00593782 -0.01387239  0.00593782  0.00593782
  0.00593782  0.00593782 -0.04092308  0.00593782  0.00593782  0.00593782
 -0.06073328 -0.03008864  0.00593782  0.00593782  0.00593782  0.00593782
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782 -0.01387239
  0.00593782 -0.07694954  0.00593782  0.00593782 -0.01387239  0.00593782
  0.00593782  0.00593782  0.00593782  0.00593782  0.00593782 -0.01387239
  0.00593782  0.00593782 -0.03008864 -0.06073328  0.00593782  0.00593782
  0.00593782 -0.03008864  0.00593782  0.00593782 -0.07694954  0.00593782
  0.00593782]",[0.0202849  0.07000874 0.05040559],[0.01170286 0.0212004  0.02024401],[-0.03084367  0.05992899  0.05186027],[0.01283207 0.02504782 0.02219062]
