,target,feature_names,baseline_score,baseline_std_dev,baseline_std_error,penalty_before_fs,regurilization_strength_before_fs,l1ratio_before_fs,penalty_score_before_fs,penalty_std_dev_before_fs,fs_score,fs_std_dev,fs_std_error,penalty_after_fs,regurilization_strength_after_fs,l1ratio_after_fs,penalty_score_after_fs,penalty_std_dev_after_fs,boost_score,boost_std_dev,boost_std_error,bag_score,bag_std_dev,bag_std_error,earlystop_score,earlystop_std_dev,earlystop_std_error,best_model_name,best_model_train_r2,best_model_holdout_r2,best_model_coef,best_model_intercept
0,proportion_diff_depr,"('fear', 'negative', 'Dominance_VAD')",-0.20243264866332913,0.21783721067225184,0.10891860533612592,elasticnet,0.01,0.5,-0.13230811916401522,0.24775615493301836,0.04931977463378001,0.11591856830291139,0.05795928415145569,l2,0.1,0.0,-0.11610056771170096,0.2482686672233094,-0.13344096418452414,0.25761345403998537,0.12880672701999268,-0.1094604011310597,0.23699285408596732,0.11849642704298365,-0.11464743113575157,0.2447374999647669,0.12236874998238345,feature_selection_model,0.04931977463378001,0.07623483860550717,[-0.01700522 -0.03125323  0.02987687],-0.013766329786145929
1,proportion_diff_anx,"('negative', 'positive', 'Valence_VAD')",-0.11981623160598238,0.22456755346967208,0.11228377673483605,l2,1.0,0.0,-0.07444315938871562,0.1732521290348235,0.09343576594529583,0.0885583872647152,0.0442791936323576,l2,0.1,0.0,-0.049659702111926274,0.19232841352363134,-0.07652570125533469,0.1989748668458642,0.09948743342293209,-0.04745917104811914,0.1903052461359026,0.0951526230679513,-0.041337384754320916,0.1774420843133313,0.08872104215666565,feature_selection_model,0.09343576594529583,0.12680958525271013,[-0.03726605 -0.03329017  0.04993436],-0.018481115908932692
